source_id,doc_type,date,doc_url,name,zip_code,county,full_address,geometry
N7828,VN,2016-05-31,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_VN_20160531.pdf,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
B8878,VN,2019-12-19,https://www.deq.state.mi.us/aps/downloads/SRN/B8878/B8878_VN_20191219.pdf,COOPER FOUNDRY INC.,49009,KALAMAZOO,"8216 DOUGLAS AVE, KALAMAZOO, MI","[-85.6099768, 42.3796287]"
P1030,VN,2019-08-21,https://www.deq.state.mi.us/aps/downloads/SRN/P1030/P1030_VN_20190821.pdf,"MCCOIG MATERIALS, LLC",48001,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]"
P1112,VN,2021-08-10,https://www.deq.state.mi.us/aps/downloads/SRN/P1112/P1112_VN_20210810.pdf,"MAYZIE, INC. DBA PET PASSAGES",48001,OAKLAND,"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]"
P1000,VN,2021-04-29,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210429.pdf,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1000,VN,2021-07-20,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210720.pdf,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
U442102125,VN,2021-05-07,https://www.deq.state.mi.us/aps/downloads/SRN/U442102125/U442102125_VN_20210507.pdf,NOVAK'S SUPPLY AND EQUIPMENT,48003,LAPEER,"3620 M-53, ALMONT, MI","[-83.05725199999999, 42.959516]"
U441700575,VN,2017-12-19,https://www.deq.state.mi.us/aps/downloads/SRN/U441700575/U441700575_VN_20171219.pdf,VACANT BUILDING,48003,LAPEER,"401 CHURCH STREET, ALMONT, MI","[-83.0483876, 42.9237149]"
B8809,VN,2014-12-23,https://www.deq.state.mi.us/aps/downloads/SRN/B8809/B8809_VN_20141223.pdf,ARMADA GRAIN,48005,MACOMB,"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
B6636,VN,2019-09-19,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_VN_20190919.pdf,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
