source_id,doc_type,date,doc_url,id,name,zip_code,county,full_address,geometry
N8277,ACO,2015-12-17,https://www.deq.state.mi.us/aps/downloads/SRN/N8277/N8277_ACO_20151217.pdf,N8277,TUSCOLA ENERGY INC - RUMBLE SHARP CTB,48767,TUSCOLA,"SE SW SW SEC 19 T14N R8E, AKRON, MI","[-83.5141259, 43.5680758]"
N8274,ACO,2015-12-17,https://www.deq.state.mi.us/aps/downloads/SRN/N8274/N8274_ACO_20151217.pdf,N8274,TUSCOLA ENERGY INC-BOYCE JR TRUSTEE 1&STREETER 1,48701,TUSCOLA,"SW SW SW SEC 24 T14N R7E, AKRON, MI","[-83.4647598, 43.5678261]"
U04060035,SAR,2019-07-16,https://www.deq.state.mi.us/aps/downloads/SRN/U04060035/U04060035_SAR_20190716.pdf,U04060035,UNKNOWN,49776,ALPENA,"ALPENA COUNTY, ALPENA, MI","[-83.4327528, 45.0616794]"
U04060035,SAR,2020-05-07,https://www.deq.state.mi.us/aps/downloads/SRN/U04060035/U04060035_SAR_20200507.pdf,U04060035,UNKNOWN,49776,ALPENA,"ALPENA COUNTY, ALPENA, MI","[-83.4327528, 45.0616794]"
N7824,FCE,2016-05-25,https://www.deq.state.mi.us/aps/downloads/SRN/N7824/N7824_FCE_20160525.pdf,N7824,RIVERSIDE - FOREST HOME 12,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI","[-85.2111728, 44.9802822]"
N7824,SAR,2016-05-17,https://www.deq.state.mi.us/aps/downloads/SRN/N7824/N7824_SAR_20160517.pdf,N7824,RIVERSIDE - FOREST HOME 12,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI","[-85.2111728, 44.9802822]"
N7824,SAR,2016-10-25,https://www.deq.state.mi.us/aps/downloads/SRN/N7824/N7824_SAR_20161025.pdf,N7824,RIVERSIDE - FOREST HOME 12,49611,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI","[-85.2111728, 44.9802822]"
U15060046,SAR,2019-01-18,https://www.deq.state.mi.us/aps/downloads/SRN/U15060046/U15060046_SAR_20190118.pdf,U15060046,UNKNOWN,nan,CHARLEVOIX,"CHARLEVOIX COUNTY, CHARLEVOIX, MI","[-85.2584004, 45.3180632]"
N7833,SAR,2019-05-28,https://www.deq.state.mi.us/aps/downloads/SRN/N7833/N7833_SAR_20190528.pdf,N7833,"MUSKEGON DEVELOPMENT, ROUND LAKE FACILITY",nan,OTSEGO,"SE 1/4 SE 1/4 SW 1/4 SEC 27, CHARLTON TWP, MI","[-84.4340843, 44.9953568]"
P0195,FCE,2017-03-29,https://www.deq.state.mi.us/aps/downloads/SRN/P0195/P0195_FCE_20170329.pdf,P0195,"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
P0195,SAR,2019-10-03,https://www.deq.state.mi.us/aps/downloads/SRN/P0195/P0195_SAR_20191003.pdf,P0195,"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
P0195,SAR,2020-10-07,https://www.deq.state.mi.us/aps/downloads/SRN/P0195/P0195_SAR_20201007.pdf,P0195,"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",48813,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
N7813,FCE,2016-01-14,https://www.deq.state.mi.us/aps/downloads/SRN/N7813/N7813_FCE_20160114.pdf,N7813,RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7),49096,OTSEGO,"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
N7813,SAR,2015-12-17,https://www.deq.state.mi.us/aps/downloads/SRN/N7813/N7813_SAR_20151217.pdf,N7813,RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7),49096,OTSEGO,"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
N0317,SAR,2017-07-14,https://www.deq.state.mi.us/aps/downloads/SRN/N0317/N0317_SAR_20170714.pdf,N0317,ACME PLATING INC,48228,WAYNE,"18636 FITZPATRICK, DETROIT, MI","[-83.22270189999999, 42.3688207]"
N0317,SAR,2018-08-08,https://www.deq.state.mi.us/aps/downloads/SRN/N0317/N0317_SAR_20180808.pdf,N0317,ACME PLATING INC,48228,WAYNE,"18636 FITZPATRICK, DETROIT, MI","[-83.22270189999999, 42.3688207]"
N8199,SAR,2017-09-27,https://www.deq.state.mi.us/aps/downloads/SRN/N8199/N8199_SAR_20170927.pdf,N8199,SAV WELDING SERVICES,48217,WAYNE,"11811 PLEASANT ST, DETROIT, MI","[-83.1415304, 42.279777]"
N7828,FCE,2016-11-03,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_FCE_20161103.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7828,FCE,2020-10-07,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_FCE_20201007.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7828,SAR,2016-11-03,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_SAR_20161103.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7828,SAR,2019-10-15,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_SAR_20191015.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7828,SAR,2020-10-07,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_SAR_20201007.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7828,VN,2016-05-31,https://www.deq.state.mi.us/aps/downloads/SRN/N7828/N7828_VN_20160531.pdf,N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",48617,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
N7832,FCE,2016-11-05,https://www.deq.state.mi.us/aps/downloads/SRN/N7832/N7832_FCE_20161105.pdf,N7832,"MUSKEGON DEVELOPMENT, PIGEON RIVER FACILITY",48625,OTSEGO,"SW 1/4 NW 1/4 SE 1/4 SEC 17, DOVER TWP, MI","[-85.62292959999999, 44.1073663]"
N7832,SAR,2016-11-03,https://www.deq.state.mi.us/aps/downloads/SRN/N7832/N7832_SAR_20161103.pdf,N7832,"MUSKEGON DEVELOPMENT, PIGEON RIVER FACILITY",48625,OTSEGO,"SW 1/4 NW 1/4 SE 1/4 SEC 17, DOVER TWP, MI","[-85.62292959999999, 44.1073663]"
N7832,SAR,2019-10-15,https://www.deq.state.mi.us/aps/downloads/SRN/N7832/N7832_SAR_20191015.pdf,N7832,"MUSKEGON DEVELOPMENT, PIGEON RIVER FACILITY",48625,OTSEGO,"SW 1/4 NW 1/4 SE 1/4 SEC 17, DOVER TWP, MI","[-85.62292959999999, 44.1073663]"
N7476,SAR,2014-02-25,https://www.deq.state.mi.us/aps/downloads/SRN/N7476/N7476_SAR_20140225.pdf,N7476,PARAGON METALS,49242,HILLSDALE,"3010 W. MECHANIC ST., HILLSDALE, MI","[-84.6561436, 41.934571]"
N8165,SAR,2015-05-21,https://www.deq.state.mi.us/aps/downloads/SRN/N8165/N8165_SAR_20150521.pdf,N8165,CHAMPION BUS INC,48444,LAPEER,"331 GRAHAM RD, IMLAY CITY, MI","[-83.0034668, 43.0156432]"
U341414092,ASBVN,2016-06-27,https://www.deq.state.mi.us/aps/downloads/SRN/U341414092/U341414092_ASBVN_20160627.pdf,U341414092,ABANDONED COMMERCIAL BUILDING,48846,IONIA,"N. STATE ROAD, IONIA, MI","[-85.07507609999999, 42.9977547]"
U36120455,ASBVN,2018-06-21,https://www.deq.state.mi.us/aps/downloads/SRN/U36120455/U36120455_ASBVN_20180621.pdf,U36120455,IRON COUNTY GENERAL,49866,IRON,"ANY ROAD, IRON, MI","[-85.9049261, 44.10606809999999]"
U36120455,RASBVN,2018-07-10,https://www.deq.state.mi.us/aps/downloads/SRN/U36120455/U36120455_RASBVN_20180710.pdf,U36120455,IRON COUNTY GENERAL,49866,IRON,"ANY ROAD, IRON, MI","[-85.9049261, 44.10606809999999]"
