id,name,address,city,zip_code,county,full_address
N8277,TUSCOLA ENERGY INC - RUMBLE SHARP CTB,SE SW SW SEC 19 T14N R8E,AKRON,,TUSCOLA,"SE SW SW SEC 19 T14N R8E, AKRON, MI"
N8274,TUSCOLA ENERGY INC-BOYCE JR TRUSTEE 1&STREETER 1,SW SW SW SEC 24 T14N R7E,AKRON,,TUSCOLA,"SW SW SW SEC 24 T14N R7E, AKRON, MI"
U04060035,UNKNOWN,ALPENA COUNTY,ALPENA,,ALPENA,"ALPENA COUNTY, ALPENA, MI"
N7824,RIVERSIDE - FOREST HOME 12,SW 1/4 NE 1/4 SEC 12 T30N R8W,BELLAIRE,,ANTRIM,"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI"
U15060046,UNKNOWN,CHARLEVOIX COUNTY,CHARLEVOIX,,CHARLEVOIX,"CHARLEVOIX COUNTY, CHARLEVOIX, MI"
N7833,"MUSKEGON DEVELOPMENT, ROUND LAKE FACILITY",SE 1/4 SE 1/4 SW 1/4 SEC 27,CHARLTON TWP,,OTSEGO,"SE 1/4 SE 1/4 SW 1/4 SEC 27, CHARLTON TWP, MI"
P0195,"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",NE SW SE SEC 14 T30N R2W,CHESTER TWP,,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI"
N7813,RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7),SW 1/4 SEC 31 T30N R2W,CHESTER TWP,,OTSEGO,"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI"
N0317,ACME PLATING INC,18636 FITZPATRICK,DETROIT,,WAYNE,"18636 FITZPATRICK, DETROIT, MI"
N8199,SAV WELDING SERVICES,11811 PLEASANT ST,DETROIT,,WAYNE,"11811 PLEASANT ST, DETROIT, MI"
N7828,"MUSKEGON DEVELOPMENT, DOVER FACILITY",NE 1/4 SEC 30 T31N R2W,DOVER TWP,,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI"
N7832,"MUSKEGON DEVELOPMENT, PIGEON RIVER FACILITY",SW 1/4 NW 1/4 SE 1/4 SEC 17,DOVER TWP,,OTSEGO,"SW 1/4 NW 1/4 SE 1/4 SEC 17, DOVER TWP, MI"
N7476,PARAGON METALS,3010 W. MECHANIC ST.,HILLSDALE,,HILLSDALE,"3010 W. MECHANIC ST., HILLSDALE, MI"
N8165,CHAMPION BUS INC,331 GRAHAM RD,IMLAY CITY,,LAPEER,"331 GRAHAM RD, IMLAY CITY, MI"
U341414092,ABANDONED COMMERCIAL BUILDING,N. STATE ROAD,IONIA,,IONIA,"N. STATE ROAD, IONIA, MI"
U36120455,IRON COUNTY GENERAL,ANY ROAD,IRON,,IRON,"ANY ROAD, IRON, MI"
B8878,COOPER FOUNDRY INC.,8216 DOUGLAS AVE,KALAMAZOO,,KALAMAZOO,"8216 DOUGLAS AVE, KALAMAZOO, MI"
A2110,PRAB CONVEYORS,5944 E KILGORE RD,KALAMAZOO,,KALAMAZOO,"5944 E KILGORE RD, KALAMAZOO, MI"
N8227,R L SCHMITT CO INC,34506 GLENDALE,LIVONIA,,WAYNE,"34506 GLENDALE, LIVONIA, MI"
U561505076,1708 E ASHMAN ST,1708 E ASHMAN ST,MIDLAND,,MIDLAND,"1708 E ASHMAN ST, MIDLAND, MI"
