0,1,2,3,4,5,6,7,8
,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,,
"Source ID
Company",Address,City,ZIP Code County,,,Other* ROP,PTI,
"N8277
TUSCOLA ENERGY INC - RUMBLE SHARP CTB",SE SW SW SEC 19 T14N R8E,AKRON,,TUSCOLA,View,,,
"N8274
TUSCOLA ENERGY INC-BOYCE JR TRUSTEE 1&STREETER 1",SW SW SW SEC 24 T14N R7E,AKRON,,TUSCOLA,View,,,
"U04060035
UNKNOWN",ALPENA COUNTY,ALPENA,,ALPENA,View,,,
"N7824
RIVERSIDE - FOREST HOME 12",SW 1/4 NE 1/4 SEC 12 T30N R8W,BELLAIRE,,ANTRIM,View,,,
"U15060046
UNKNOWN",CHARLEVOIX COUNTY,CHARLEVOIX,,CHARLEVOIX,View,,,
"N7833
MUSKEGON DEVELOPMENT, ROUND LAKE FACILITY",SE 1/4 SE 1/4 SW 1/4 SEC 27,CHARLTON TWP,,OTSEGO,View,,,
"P0195
MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",NE SW SE SEC 14 T30N R2W,CHESTER TWP,,OTSEGO,View,,View,
"N7813
RIVERSIDE - OTSEGO LAKE 12 (PART OF CHESTER 7)",SW 1/4 SEC 31 T30N R2W,CHESTER TWP,,OTSEGO,View,,,
"N0317
ACME PLATING INC",18636 FITZPATRICK,DETROIT,,WAYNE,View,,,
"N8199
SAV WELDING SERVICES",11811 PLEASANT ST,DETROIT,,WAYNE,View,,,
"N7828
MUSKEGON DEVELOPMENT, DOVER FACILITY",NE 1/4 SEC 30 T31N R2W,DOVER TWP,,OTSEGO,View,,View,
"N7832
MUSKEGON DEVELOPMENT, PIGEON RIVER FACILITY",SW 1/4 NW 1/4 SE 1/4 SEC 17,DOVER TWP,,OTSEGO,View,,,
"N7476
PARAGON METALS",3010 W. MECHANIC ST.,HILLSDALE,,HILLSDALE,View,,,
"N8165
CHAMPION BUS INC",331 GRAHAM RD,IMLAY CITY,,LAPEER,View,,,
U341414092 ABANDONED COMMERCIAL BUILDING,N. STATE ROAD,IONIA,,IONIA,View,,,
"U36120455
IRON COUNTY GENERAL",ANY ROAD,IRON,,IRON,View,,,
"B8878
COOPER FOUNDRY INC.",8216 DOUGLAS AVE,KALAMAZOO,,KALAMAZOO,View,,,
"A2110
PRAB CONVEYORS",5944 E KILGORE RD,KALAMAZOO,,KALAMAZOO,View,,,
"N8227
R L SCHMITT CO INC",34506 GLENDALE,LIVONIA,,WAYNE,View,,,
"U561505076
1708 E ASHMAN ST",1708 E ASHMAN ST,MIDLAND,,MIDLAND,View,,,
"U60060087
UNKNOWN",MONTMORENCY COUNTY,MONTMORENCY,,MONTMORENCY,View,,,
"B5766
MINISTRELLI CONSTRUCTION CO",,NOVI,,OAKLAND,View,,,
"U69060095
UNKNOWN",OTSEGO COUNTY,OTSEGO,,OTSEGO,View,,,
"N7834
MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",SW 1/4 NE 1/4 SW 1/4 SEC 6,OTSEGO LAKE,,OTSEGO,View,,View,
"N3508
M. L.  CHARTIER INC.",5792 HOWELL RD.,OTTER LAKE,,LAPEER,,,View,
"A2098
SAPA ALUMINUM",5575 N RIVERVIEW,PARCHMENT,,KALAMAZOO,View,,,
"B4721
MULTI FEED INC",16350 NORTHVILLE RD,PLYMOUTH,,WAYNE,View,,,
"N4961
JOHNSTON LITHOGRAPH INC.",11334 HUNT ST,ROMULUS,,WAYNE,View,,,
"A8266
SAINT GOBIAN ABRASIVES",27588 NORTHLINE RD,ROMULUS,,WAYNE,View,,,
"N8190
HILDEN OIL CO - HAMILTON GAS PLANT",T 15 N R 14 W   SECTION 18  ISABELLA TWP,ROSEBUSH,,ISABELLA,View,,,
"P0228
DEPT OF ENVIRONMENTAL QUALITY-RD",1992 N MAPLE VALLEY RD,SAINT HELEN,,ROSCOMMON,,,View,
"B7514
ST. MARYS CEMENT, INC",640 E SOUTH ST,SCHOOLCRAFT,,KALAMAZOO,View,,,
U632100200 FORMER LUMBER YARD,1258 ROCHESTER RD,TROY,40083,OAKLAND,View,,,
"M4092
DETROIT LEAD PIPE WORKS INC",7001 LYNDON,DETROIT,40202,WAYNE,View,,,
"N2689
VIENNA JUNCTION LANDFILL",6233 HAGMAN RD,ERIE,43133,MONROE,View,View,,
"N8048
SPEEDWAY SUPERAMERICA (SSA 5543)",8185 COMMERCE RD,COMMERCE TWP,45323,OAKLAND,View,,,
"N8096
SPEEDWAY SUPERAMERICA LLC (REM SITE SSA 8754)",G-3416 W PIERSON RD,FLINT,45501,GENESEE,View,,,
"A6260
ALGONAC CAST PRODUCTS INC",9300 STONE ROAD,ALGONAC,48001,SAINT CLAIR,View,,View,
"N8094
SPEEDWAY SUPERAMERICA LLC (REM SITE SSA 8702)",440 POINTE TREMBLE RD,ALGONAC,48001,SAINT CLAIR,View,,,
"N6769
SUNSATION PRODUCTS INC",9635 KRETZ DR,ALGONAC,48001,SAINT CLAIR,View,,View,
"P1024
ALTA EQUIPMENT COMPANY",8840 BYRON COMMERCE DRIVE,BYRON CENTER,48001,KENT,,,View,
U741802378 FORMER RESTAURANT,4219 POINTE TREMBLE ROAD,CLAY TOWNSHIP,48001,SAINT CLAIR,View,,,
"P1089
CARL SCHEGEL",4500 MANN ROAD,CONCORD,48001,JACKSON,,,View,
"P1015
ENBRIDGE ENERGY, LP","SEC 35, T43N, R32W",CRYSTAL FALLS,48001,IRON,,,View,
"P1030
MCCOIG MATERIALS, LLC",1441 SPRINGWELLS COURT,DETROIT,48001,WAYNE,View,,View,
"P1147
ST. MARY'S CEMENT, INC.",9333 DEARBORN STREET,DETROIT,48001,WAYNE,,,View,
"P1001
SC ENVIRONMENTAL SERVICES, LLC",12166 DIXIE HIGHWAY,HOLLY,48001,OAKLAND,View,,,
"P1029
HAVILAND PRODUCTS COMPANY",2722 NORTH BURDICK STREET,KALAMAZOO,48001,KALAMAZOO,View,,View,
"P1090
GRAND RAPIDS CREMATORY, INC.",1649 VIEWPOND DRIVE SE,KENTWOOD,48001,KENT,,,View,
"P0998
MI GRAVEL DBA TCA MANAGEMENT LLC",10222 SHERIDAN ROAD,MILLINGTON,48001,TUSCOLA,View,,View,
"P1083
AMERICAN STATE EQUIPMENT",W5340 HIAWATHA TRAIL,NAUBINWAY,48001,MACKINAC,,,View,
"P1091
EXOTIC RUBBER & PLASTICS",53500 GRAND RIVER AVENUE,NEW HUDSON,48001,OAKLAND,View,,View,
"P1112
MAYZIE, INC. DBA PET PASSAGES",4577 LAPEER ROAD,ORION TWP,48001,OAKLAND,View,,View,
"P1000
QUALITY ROASTING, LLC",135 S. BRADLEYVILLE ROAD,REESE,48001,TUSCOLA,View,,View,
