address,geometry
"SE SW SW SEC 19 T14N R8E, AKRON, MI","[-83.5141259, 43.5680758]"
"SW SW SW SEC 24 T14N R7E, AKRON, MI","[-83.4647598, 43.5678261]"
"ALPENA COUNTY, ALPENA, MI","[-83.4327528, 45.0616794]"
"SW 1/4 NE 1/4 SEC 12 T30N R8W, BELLAIRE, MI","[-85.2111728, 44.9802822]"
"CHARLEVOIX COUNTY, CHARLEVOIX, MI","[-85.2584004, 45.3180632]"
"SE 1/4 SE 1/4 SW 1/4 SEC 27, CHARLTON TWP, MI","[-84.4340843, 44.9953568]"
"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
"SW 1/4 SEC 31 T30N R2W, CHESTER TWP, MI","[-85.8690933, 43.158429]"
"18636 FITZPATRICK, DETROIT, MI","[-83.22270189999999, 42.3688207]"
"11811 PLEASANT ST, DETROIT, MI","[-83.1415304, 42.279777]"
"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI","[-84.16461629999999, 41.87079440000001]"
"SW 1/4 NW 1/4 SE 1/4 SEC 17, DOVER TWP, MI","[-85.62292959999999, 44.1073663]"
"3010 W. MECHANIC ST., HILLSDALE, MI","[-84.6561436, 41.934571]"
"331 GRAHAM RD, IMLAY CITY, MI","[-83.0034668, 43.0156432]"
"N. STATE ROAD, IONIA, MI","[-85.07507609999999, 42.9977547]"
"ANY ROAD, IRON, MI","[-85.9049261, 44.10606809999999]"
"8216 DOUGLAS AVE, KALAMAZOO, MI","[-85.6099768, 42.3796287]"
"5944 E KILGORE RD, KALAMAZOO, MI","[-85.5308769, 42.244931]"
"34506 GLENDALE, LIVONIA, MI","[-83.38373829999999, 42.3776229]"
"1708 E ASHMAN ST, MIDLAND, MI","[-84.20686099999999, 43.6263509]"
"MONTMORENCY COUNTY, MONTMORENCY, MI","[-84.1403141, 45.07427939999999]"
"MINISTRELLI CONSTRUCTION CO, NOVI, MI","[-83.3494463, 42.5675961]"
"OTSEGO COUNTY, OTSEGO, MI","[-84.6482398, 45.0992063]"
"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI","[-84.69252999999999, 44.9169578]"
"5792 HOWELL RD., OTTER LAKE, MI","[-83.45316969999999, 43.2020416]"
"5575 N RIVERVIEW, PARCHMENT, MI","[-85.5603112, 42.3428891]"
"16350 NORTHVILLE RD, PLYMOUTH, MI","[-83.4687105, 42.405741]"
"11334 HUNT ST, ROMULUS, MI","[-83.3947, 42.2182419]"
"27588 NORTHLINE RD, ROMULUS, MI","[-83.3093706, 42.2106883]"
"T 15 N R 14 W   SECTION 18  ISABELLA TWP, ROSEBUSH, MI","[-84.7677927, 43.6991954]"
"1992 N MAPLE VALLEY RD, SAINT HELEN, MI","[-84.49162969999999, 44.3247604]"
"640 E SOUTH ST, SCHOOLCRAFT, MI","[-85.6334428, 42.109299]"
"1258 ROCHESTER RD, TROY, MI","[-83.1307641, 42.5449405]"
"7001 LYNDON, DETROIT, MI","[-83.1414047, 42.3951198]"
"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
"8185 COMMERCE RD, COMMERCE TWP, MI","[-83.44513169999999, 42.5921342]"
"G-3416 W PIERSON RD, FLINT, MI","[-83.7490474, 43.0609814]"
"9300 STONE ROAD, ALGONAC, MI","[-82.54572189999999, 42.6299997]"
"440 POINTE TREMBLE RD, ALGONAC, MI","[-82.5371631, 42.6138238]"
"9635 KRETZ DR, ALGONAC, MI","[-82.5700738, 42.6222489]"
"8840 BYRON COMMERCE DRIVE, BYRON CENTER, MI","[-85.6703763, 42.80414830000001]"
"4219 POINTE TREMBLE ROAD, CLAY TOWNSHIP, MI","[-82.56713599999999, 42.620197]"
"4500 MANN ROAD, CONCORD, MI","[-84.68608139999999, 42.1971472]"
"SEC 35, T43N, R32W, CRYSTAL FALLS, MI","[-88.3340242, 46.0980066]"
"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]"
"9333 DEARBORN STREET, DETROIT, MI","[-83.1290408, 42.2929286]"
"12166 DIXIE HIGHWAY, HOLLY, MI","[-83.578266, 42.852728]"
"2722 NORTH BURDICK STREET, KALAMAZOO, MI","[-85.5831575, 42.318596]"
"1649 VIEWPOND DRIVE SE, KENTWOOD, MI","[-85.62398549999999, 42.880871]"
"10222 SHERIDAN ROAD, MILLINGTON, MI","[-83.482202, 43.2317725]"
"W5340 HIAWATHA TRAIL, NAUBINWAY, MI","[-85.4165099, 46.1261833]"
"53500 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.5813934, 42.5048647]"
"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]"
"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
"5699 READY ROAD, S ROCKWOOD, MI","[-83.2707959, 42.0534786]"
"I-75 AND WEST BIG BEAVER ROAD, TROY, MI","[-83.1638267, 42.6015988]"
"1990 CONCEPT DRIVE, WARREN, MI","[-83.08143450000001, 42.4797386]"
"7400 RESEARCH DR, ALMONT, MI","[-83.04981389999999, 42.9328091]"
"3620 M-53, ALMONT, MI","[-83.05725199999999, 42.959516]"
"401 CHURCH STREET, ALMONT, MI","[-83.0483876, 42.9237149]"
"80650 EARLE MEMORIAL HOSPITAL, BRUCE TWP, MI","[-83.0398296, 42.886694]"
"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
"24586 ARMADA RIDGE RD, ARMADA, MI","[-82.8683528, 42.84543730000001]"
"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
"15211 LAETHEM DRIVE, ARMADA, MI","[-82.9788531, 42.8139571]"
"72025 NORTH AVENUE, ARMADA, MI","[-82.887152, 42.8292101]"
"31071 DIVISION STREET, NEW HAVEN, MI","[-82.8003878, 42.7316491]"
"7000  KILGORE ROAD, AVOCA, MI","[-82.6986921, 43.1067683]"
"8870 BRYCE RD, AVOCA, MI","[-82.6870964, 43.0188032]"
"525 SOUTHFIELD, BIRMINGHAM, MI","[-83.2215514, 42.5433166]"
"217 NORTH ETON, BIRMINGHAM, MI","[-83.1964993, 42.5484428]"
"1190 GRANT STREET, BIRMINGHAM, MI","[-83.2102543, 42.5383755]"
"2295 E. LINCOLN STREET, BIRMINGHAM, MI","[-83.19271540000001, 42.5393038]"
"6201 ADAMS ROAD, BLOOMFELD HLS, MI","[-83.2086633, 42.6086798]"
"4876  KETTLEHUT RD., CAPAC, MI","[-82.9483376, 43.0380328]"
"220 HUNTER STREET, CAPAC, MI","[-82.924379, 43.0091908]"
"5570 HACKMAN, MUSSEY TOWNSHIP, MI","[-82.8991195, 43.0586981]"
"36555  29 MILE RD., MUTTONVILLE, MI","[-82.7454606, 42.7694054]"
"26333 VAN DYKE, CENTER LINE, MI","[-83.028669, 42.4871496]"
"24331 SHERWOOD AVE, CENTER LINE, MI","[-83.0373396, 42.4708422]"
"26677 VAN DYKE, CENTER LINE, MI","[-83.027969, 42.489765]"
"13125 8 MILE RD, STERLING HTS, MI","[-83.4470517, 42.4384914]"
"1250 CROOKS RD, CLAWSON, MI","[-83.16579390000001, 42.5439687]"
"29 HIGH STREET, CLAWSON, MI","[-83.1419702, 42.5339617]"
"444 N. ROCHESTER RD., CLAWSON, MI","[-83.1347232, 42.5371124]"
"400 W. MAPLE ROAD, TROY, MI","[-83.1532582, 42.5491481]"
"22556 GRATIOT AVE, EASTPOINTE, MI","[-82.957996, 42.463602]"
"7750 DIXIE HIGHWAY, FAIR HAVEN, MI","[-82.62147879999999, 42.6721603]"
"9399 SHORTCUT ROAD, IRA TOWNSHIP, MI","[-82.6850269, 42.6928146]"
"31490 UTICA ROAD, FRASER, MI","[-82.9466688, 42.5290908]"
"7473 LAPPER ROAD, GOODELLS, MI","[-82.6298582, 42.9899844]"
"1471 E. NINE MILE ROAD, HAZEL PARK, MI","[-83.08933139999999, 42.4626509]"
"348 E. NINE MILE ROAD, HAZEL PARK, MI","[-83.101766, 42.4612239]"
"1626 E. NINE MILE ROAD, HAZEL PARK, MI","[-83.0876814, 42.4615201]"
"39 E. MAPLEDALE, HAZEL PARK, MI","[-83.1035892, 42.4726565]"
"25992 W. 8 MILE ROAD, SOUTHFIELD, MI","[-83.3216073, 42.442079]"
"22122 TELEGRAPH ROAD, SOUTHFIELD, MI","[-83.27710820000001, 42.4532793]"
"44645 MACOMB INDUSTRIAL DRIVE, CLINTON TOWSHIP, MI","[-82.88265249999999, 42.6260471]"
"21283 BRIDGE ST., SOUTHFIELD, MI","[-83.28483419999999, 42.4477616]"
"256 MURPHY DRIVE, MARYSVILLE, MI","[-82.5103321, 42.9026651]"
"315 CUTTLE ROAD, MARYSVILLE, MI","[-82.47650259999999, 42.8979806]"
"50 MACK AVENUE, MARYSVILLE, MI","[-82.4769381, 42.8853911]"
"51410 MILANO DRIVE, MACOMB, MI","[-82.9656559, 42.6736778]"
"260 N. ROSE ST, MT. CLEMENS, MI","[-82.8945525, 42.6104563]"
"30871 23 MILE ROAD, BALTIMORE, MI","[-82.8003457, 42.6755215]"
"51536 INDUSTRIAL DRIVE, NEW BALTIMORE, MI","[-82.7536772, 42.6832184]"
"51005 WASHINGTON, NEW BALTIMORE, MI","[-82.7352832, 42.67963750000001]"
"51537 INDUSTRIAL DRIVE, NEW BALTIMORE, MI","[-82.7550255, 42.6826956]"
"32000 32 MILE ROAD, LENOX, MI","[-82.796776, 42.80316699999999]"
"48175 GRAIOT AVENUE, CHESTERFIELD, MI","[-82.8519651, 42.6538797]"
"50925 RICHARD W BLVD, CHESTERFIELD, MI 4, CHESTERFIELD TOWNSHIP, MI","[-82.8510208, 42.6729774]"
"50271 E. RUSSELL SCHMIDT BLVD., NEW BALTIMORE, MI","[-82.8508526, 42.66424019999999]"
"29 WEST RUNDELL, PONTIAC, MI","[-83.29591599999999, 42.6518439]"
"930 COURT ST, PORT HURON, MI","[-82.4315147, 42.9714415]"
"4200 DOVE ROAD, PORT HURON, MI","[-82.4907844, 42.9527862]"
"1033 RIVER, PORT HURON, MI","[-82.43630069999999, 42.9848486]"
"1026 MILITARY, PORT HURON, MI","[-82.4240239, 42.9728532]"
"1631 DOVE ST., PT. HURON, MI","[-82.4426076, 42.952734]"
