,name,Total,"Total, Error",Income Poverty Level,"Income Poverty Level, Error"
0,Michigan,9741628,0.0,14.4,0.1
1,48001,11818,0.9,9.9,2.0
2,48002,3212,1.1,7.7,3.5
3,48003,6047,3.0,9.4,3.2
4,48005,5439,1.7,4.9,2.0
5,48006,4028,4.9,10.7,3.2
6,48009,21184,0.2,5.3,1.4
7,48014,4097,1.8,7.9,2.2
8,48015,7954,2.0,9.7,3.5
9,48017,11764,1.0,7.3,2.1
10,48021,32205,0.5,16.2,2.9
11,48022,2582,0.9,12.1,5.0
12,48023,5094,0.5,7.8,3.0
13,48025,14700,0.6,2.5,0.8
14,48026,14467,0.4,9.9,2.3
15,48027,3194,1.2,5.0,2.6
16,48028,999,9.1,8.5,5.3
17,48030,16443,0.5,22.6,3.6
18,48032,1872,11.1,5.7,1.9
19,48033,16621,4.3,15.4,3.9
20,48034,13846,4.7,10.8,2.7
21,48035,35317,2.5,13.8,2.5
22,48036,21122,3.7,15.7,3.5
23,48038,43253,2.3,7.9,2.1
24,48039,7559,0.4,11.2,3.4
25,48040,9639,0.6,8.2,2.4
26,48041,4503,5.0,6.4,2.4
27,48042,31441,2.4,5.3,2.0
28,48043,14857,1.4,20.1,3.6
29,48044,57602,1.3,3.8,1.0
30,48045,24865,0.5,9.0,1.5
31,48047,40321,2.1,4.6,1.0
32,48048,7922,3.1,9.4,3.8
33,48049,5441,0.5,3.6,1.6
34,48050,1416,16.7,3.3,2.7
35,48051,17102,4.4,7.3,2.5
36,48054,7012,1.6,8.2,2.7
37,48059,14634,1.0,13.9,3.6
38,48060,38525,0.6,22.7,2.0
39,48062,9411,1.9,13.8,5.5
40,48063,3993,0.7,4.0,2.4
41,48064,4036,0.7,7.6,2.8
42,48065,11002,2.7,5.9,1.8
43,48066,47191,0.4,15.7,1.8
44,48067,24510,1.9,6.1,1.1
45,48069,2426,4.9,3.9,2.2
46,48070,6322,0.4,2.1,1.4
47,48071,29964,0.4,13.6,2.3
48,48072,15323,0.3,4.0,1.5
49,48073,34420,1.4,7.0,1.4
50,48074,9133,0.6,15.7,6.2
51,48075,21024,2.7,9.8,1.8
52,48076,24543,3.9,9.8,2.8
53,48079,12142,0.4,6.4,2.0
54,48080,22431,2.1,9.1,2.0
55,48081,20448,2.1,6.4,1.6
56,48082,16184,1.9,7.1,1.7
57,48083,22527,2.7,8.3,1.4
58,48084,15723,3.8,5.3,1.6
59,48085,26304,2.1,3.0,1.2
60,48088,22138,3.3,9.0,2.0
61,48089,30797,3.3,23.8,3.3
62,48091,29667,3.3,27.7,3.6
63,48092,26737,2.4,12.0,2.0
64,48093,24192,3.5,10.9,2.4
65,48094,19860,2.3,4.8,1.9
66,48095,5765,5.9,2.8,2.4
67,48096,4010,0.5,8.1,4.2
68,48097,5145,3.8,14.1,2.6
69,48098,19209,2.9,3.9,1.5
70,48101,26914,0.7,7.7,2.0
71,48103,54821,2.0,7.0,1.0
72,48104,40120,2.6,35.0,2.6
73,48105,33312,3.2,17.6,1.9
74,48108,26262,2.8,11.3,1.8
75,48109,26,73.1,73.1,69.2
76,48111,40681,1.3,10.8,2.0
77,48114,21150,2.7,3.7,0.9
78,48116,27106,2.4,5.2,1.2
79,48117,9995,3.2,7.4,2.6
80,48118,12479,3.6,2.9,1.1
81,48120,7050,6.5,35.0,7.4
82,48122,10337,0.4,23.6,7.1
83,48124,28359,3.2,12.0,2.3
84,48125,19777,2.5,18.0,4.1
85,48126,48412,2.0,40.3,3.4
86,48127,35519,1.4,19.0,2.6
87,48128,10468,3.9,11.3,4.8
88,48130,15741,3.7,4.7,3.0
89,48131,7060,3.7,7.2,3.9
90,48133,5212,6.6,11.1,4.8
91,48134,21908,3.1,10.7,3.3
92,48135,26597,0.3,9.7,1.6
93,48137,5231,8.7,3.9,2.2
94,48138,10159,0.5,2.5,1.0
95,48139,135,60.0,0.0,7.4
96,48140,3225,8.9,4.8,2.6
97,48141,24282,0.5,33.5,3.6
98,48143,0,inf,,inf
99,48144,9445,4.7,7.9,4.8
100,48145,3334,6.6,4.9,2.8
101,48146,36561,0.3,20.4,2.9
102,48150,25666,1.8,5.9,1.2
103,48152,30849,1.4,6.4,1.3
104,48154,36432,1.4,4.6,0.8
105,48157,1183,11.2,27.6,8.8
106,48158,7547,3.6,5.9,2.3
107,48159,2615,10.2,4.6,2.0
108,48160,12232,4.0,4.2,1.2
109,48161,25853,1.9,17.0,2.1
110,48162,27087,2.5,12.9,2.4
111,48164,8713,7.7,4.1,4.1
112,48165,7462,7.2,6.6,2.6
113,48166,11751,5.0,19.3,5.5
114,48167,22347,3.8,4.9,1.4
115,48168,22825,3.1,1.6,0.7
116,48169,21767,2.7,5.0,1.4
117,48170,39307,1.1,4.7,0.9
118,48173,12351,3.9,7.8,3.0
119,48174,31324,2.7,16.2,2.9
120,48176,23439,2.9,5.3,2.3
121,48177,229,67.7,0.0,4.4
122,48178,35315,2.1,3.5,0.7
123,48179,3676,11.4,10.3,6.1
124,48180,60488,0.4,16.6,1.7
125,48182,22269,2.8,6.2,1.9
126,48183,41758,1.3,7.6,1.2
127,48184,17044,2.5,21.8,2.6
128,48185,47226,1.7,15.1,2.3
129,48186,33881,2.4,13.4,2.1
130,48187,49818,1.5,6.6,1.1
131,48188,41838,1.8,5.8,1.3
132,48189,13646,4.3,8.1,2.7
133,48190,226,93.8,0.0,4.4
134,48191,4419,8.1,5.4,4.0
135,48192,24951,0.3,13.5,2.1
136,48193,15208,2.9,11.4,3.3
137,48195,29058,0.3,10.4,2.5
138,48197,63230,1.5,14.8,1.3
139,48198,38081,1.9,21.4,3.0
140,48201,14896,5.9,50.8,5.3
141,48202,14282,5.2,36.8,4.6
142,48203,22711,4.2,39.4,3.4
143,48204,23793,6.2,42.0,5.4
144,48205,33108,4.3,25.8,3.1
145,48206,15850,7.3,39.4,4.8
146,48207,20439,4.6,33.6,3.8
147,48208,8904,7.8,48.8,7.1
148,48209,31571,4.8,43.1,5.0
149,48210,29873,4.2,41.1,4.3
150,48211,5551,11.2,45.2,9.5
151,48212,36777,2.6,46.1,3.3
152,48213,21811,5.8,39.4,4.8
153,48214,21055,5.3,32.3,4.1
154,48215,11633,6.6,40.2,6.5
155,48216,5297,10.3,33.1,6.7
156,48217,6678,10.6,37.1,10.8
157,48218,7502,0.4,42.2,6.9
158,48219,47071,3.6,29.9,3.2
159,48220,22422,0.9,10.6,1.7
160,48221,40504,4.1,20.7,2.7
161,48223,25639,5.2,29.1,3.8
162,48224,40946,4.6,34.4,3.9
163,48225,13957,2.0,18.8,3.7
164,48226,5948,7.2,17.7,3.9
165,48227,41156,4.2,34.3,3.4
166,48228,55682,3.6,39.0,3.6
167,48229,9404,1.0,33.3,4.7
168,48230,16349,0.2,4.8,2.0
169,48233,0,inf,,inf
170,48234,34105,3.8,34.2,2.9
171,48235,45722,4.0,31.2,3.3
172,48236,29349,1.7,5.2,1.4
173,48237,29677,0.3,14.3,2.7
174,48238,24961,5.7,39.1,4.7
175,48239,36093,2.2,18.1,2.9
176,48240,16772,3.5,15.1,3.4
177,48242,0,inf,,inf
178,48243,0,inf,,inf
179,48301,14796,3.6,3.1,1.1
180,48302,15964,3.6,4.8,1.7
181,48304,15859,3.0,3.9,1.4
182,48306,27221,2.6,1.5,0.6
183,48307,43201,1.5,6.8,1.3
184,48309,28002,1.8,4.5,1.5
185,48310,43334,2.0,13.8,1.9
186,48312,34547,2.4,9.6,2.2
187,48313,33220,2.2,9.6,1.9
188,48314,20560,2.6,9.8,2.1
189,48315,27401,2.3,4.7,1.3
190,48316,27818,2.6,6.3,1.7
191,48317,28529,2.5,8.1,1.9
192,48320,4919,2.6,10.5,6.3
193,48322,32256,2.0,5.6,1.4
194,48323,17029,4.2,4.9,2.0
195,48324,17743,4.1,4.1,1.2
196,48326,22265,0.8,11.9,2.1
197,48327,21893,3.0,10.1,2.0
198,48328,26059,2.7,13.1,2.0
199,48329,24255,3.0,6.9,1.6
200,48331,21353,3.1,4.8,2.1
201,48334,19034,4.1,6.8,1.3
202,48335,22899,3.2,6.5,1.8
203,48336,25551,3.7,9.7,2.0
204,48340,25330,4.7,31.3,5.5
205,48341,16382,5.9,24.8,4.0
206,48342,16645,6.7,35.7,5.4
207,48346,23666,2.2,7.8,2.4
208,48348,24541,2.8,4.3,1.6
209,48350,7226,6.7,7.9,3.8
210,48353,6689,5.7,7.4,3.7
211,48356,8694,3.5,4.2,1.5
212,48357,8347,4.6,6.4,2.6
213,48359,9695,5.0,8.1,2.3
214,48360,12762,4.1,2.2,0.9
215,48362,15654,3.2,4.7,1.3
216,48363,7026,5.5,3.4,1.9
217,48367,4697,4.8,8.3,5.9
218,48370,1901,11.8,5.8,4.3
219,48371,25407,1.8,5.1,1.5
220,48374,16589,3.1,6.0,3.4
221,48375,21844,2.9,2.8,1.3
222,48377,16628,3.3,3.6,1.0
223,48380,7338,6.2,2.5,1.2
224,48381,13407,2.1,7.3,2.6
225,48382,23471,2.4,3.8,1.2
226,48383,12935,3.2,8.6,2.7
227,48386,18341,2.2,5.0,1.4
