geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
04000US26,Michigan,9965265,0,7813755,4058,1374314,4050,53316,1913,311721,2061,3099,339,117801,3429,291259,5445,26495,1502,264764,5124
86000US48001,"48001",11903,92,11547,179,12,15,67,55,71,79,13,20,83,79,110,85,0,16,110,85
86000US48002,"48002",3224,32,3183,44,0,10,0,10,0,10,0,10,0,10,41,28,6,9,35,28
86000US48003,"48003",6047,179,5967,185,1,4,8,13,58,47,0,15,0,15,13,16,0,15,13,16
86000US48005,"48005",5509,20,5341,82,42,49,21,33,10,11,0,15,0,15,95,54,16,25,79,48
86000US48006,"48006",4058,192,3919,214,17,22,0,10,13,13,0,10,0,10,109,64,3,6,106,64
86000US48009,"48009",21201,39,19096,444,712,309,11,16,813,292,0,19,35,34,534,181,10,16,524,180
86000US48014,"48014",4136,65,3807,155,9,12,5,6,0,10,0,10,132,75,183,94,18,15,165,92
86000US48015,"48015",8260,25,5802,346,1805,281,0,15,323,235,5,12,36,30,289,226,18,29,271,222
86000US48017,"48017",11910,37,11179,199,138,89,8,12,228,117,0,16,68,54,289,105,23,26,266,102
86000US48021,"48021",32336,130,14741,735,15473,832,431,230,272,185,0,22,404,322,1015,313,45,38,970,308
86000US48022,"48022",2605,17,2562,33,15,22,0,10,0,10,0,10,0,10,28,25,0,10,28,25
86000US48023,"48023",5094,23,5012,88,50,76,4,8,0,15,0,15,20,21,8,13,8,13,0,15
86000US48025,"48025",14820,30,12307,482,1409,427,72,59,481,145,3,6,59,51,489,150,48,45,441,142
86000US48026,"48026",14580,22,13040,418,726,218,63,60,302,124,0,16,8,14,441,303,30,33,411,300
86000US48027,"48027",3194,38,3144,66,0,10,0,10,0,10,0,10,0,10,50,53,0,10,50,53
86000US48028,"48028",999,91,981,89,0,10,4,7,0,10,0,10,0,10,14,16,0,10,14,16
86000US48030,"48030",16525,22,13023,584,2197,468,65,49,224,148,16,28,139,83,861,300,14,22,847,301
86000US48032,"48032",1875,208,1763,191,28,36,9,12,23,22,5,7,3,5,44,25,2,3,42,24
86000US48033,"48033",16757,738,3422,470,11837,832,35,51,346,208,24,48,73,83,1020,478,71,72,949,458
86000US48034,"48034",13846,645,2810,391,9640,796,27,28,586,256,0,16,241,200,542,233,8,11,534,233
86000US48035,"48035",35599,896,25549,1005,8217,984,67,52,406,223,103,153,219,202,1038,294,72,85,966,286
86000US48036,"48036",21353,813,15261,717,4614,764,261,298,512,389,0,19,15,25,690,278,74,82,616,256
86000US48038,"48038",43478,1003,35170,1035,5905,946,171,143,1119,415,0,22,29,28,1084,365,34,39,1050,366
86000US48039,"48039",7573,22,7478,88,0,15,10,16,0,15,0,15,0,15,85,84,0,15,85,84
86000US48040,"48040",9693,37,9318,245,47,68,22,24,0,15,0,15,78,79,228,178,114,132,114,87
86000US48041,"48041",4536,223,4474,229,3,5,0,10,0,10,0,10,12,18,47,38,0,10,47,38
86000US48042,"48042",31485,742,29199,787,757,299,21,24,1050,401,0,22,159,145,299,160,7,11,292,160
86000US48043,"48043",16332,76,11479,529,4013,453,69,63,19,22,0,16,94,90,658,230,81,73,577,223
86000US48044,"48044",57745,745,50589,1016,3967,569,82,58,1642,327,0,24,262,148,1203,311,94,96,1109,298
86000US48045,"48045",24995,41,21837,626,2341,482,7,9,279,222,0,19,61,86,470,198,27,32,443,197
86000US48047,"48047",40535,822,36455,994,2153,573,142,94,490,329,17,37,105,81,1173,355,112,102,1061,337
86000US48048,"48048",7973,251,6946,443,519,242,7,16,0,15,0,15,146,161,355,241,0,15,355,241
86000US48049,"48049",5451,22,5375,55,17,29,0,15,1,4,0,15,0,15,58,47,0,15,58,47
86000US48050,"48050",1416,237,1380,233,0,10,16,26,0,10,0,10,0,10,20,32,0,10,20,32
86000US48051,"48051",18878,822,15975,816,1772,407,105,93,63,59,16,25,579,412,368,255,10,15,358,262
86000US48054,"48054",7170,24,6915,150,61,69,0,15,38,44,0,15,39,62,117,74,14,21,103,72
86000US48059,"48059",14932,22,14265,240,134,69,9,14,73,80,0,16,86,65,365,209,0,16,365,209
86000US48060,"48060",39405,46,33070,548,3009,373,90,55,527,290,33,35,376,212,2300,433,133,91,2167,402
86000US48062,"48062",9604,168,8794,417,91,71,0,15,0,15,245,288,198,195,276,132,22,33,254,132
86000US48063,"48063",4013,17,3811,152,104,135,0,10,0,10,0,10,21,31,77,53,0,10,77,53
86000US48064,"48064",4036,30,3921,75,8,11,8,12,63,58,0,10,0,10,36,26,4,8,32,23
86000US48065,"48065",11042,295,10302,358,308,187,0,16,141,165,0,16,146,135,145,92,0,16,145,92
86000US48066,"48066",47507,116,35322,933,9562,876,203,104,745,262,15,23,363,161,1297,294,80,77,1217,283
86000US48067,"48067",24556,475,22237,575,746,193,6,9,828,233,0,19,122,86,617,205,16,18,601,203
86000US48069,"48069",2431,119,2198,132,51,53,6,10,56,41,6,10,12,14,102,61,5,7,97,58
86000US48070,"48070",6322,23,5925,163,103,82,0,15,131,86,0,15,13,20,150,96,4,7,146,93
86000US48071,"48071",30120,39,24335,876,2564,568,129,88,1741,527,0,22,333,386,1018,321,96,132,922,303
86000US48072,"48072",15372,29,14173,344,486,266,50,59,191,91,0,16,26,29,446,172,22,35,424,169
86000US48073,"48073",34700,479,31025,702,1458,468,35,27,1624,418,21,32,106,90,431,165,0,22,431,165
86000US48074,"48074",9172,44,8786,172,6,15,20,20,38,47,0,15,1,3,321,158,23,35,298,149
86000US48075,"48075",21758,590,4416,344,15973,668,27,31,264,100,0,19,353,213,725,226,13,19,712,225
86000US48076,"48076",24947,949,7608,532,15950,915,39,34,513,259,0,19,66,43,771,236,8,13,763,236
86000US48079,"48079",12188,25,11745,195,48,56,18,18,167,92,6,10,29,31,175,115,8,12,167,114
86000US48080,"48080",22592,466,19777,522,2203,311,36,34,206,90,0,19,33,31,337,140,42,29,295,141
86000US48081,"48081",20671,454,19476,495,650,325,31,36,113,58,0,19,34,39,367,153,5,7,362,152
86000US48082,"48082",16200,307,15465,336,265,195,29,41,71,50,24,32,49,42,297,126,50,51,247,104
86000US48083,"48083",22561,600,15218,575,976,361,31,39,5554,456,0,19,233,191,549,197,85,81,464,182
86000US48084,"48084",15737,592,8710,447,738,322,23,27,5635,636,17,27,136,102,478,138,31,27,447,131
86000US48085,"48085",26459,559,19746,544,877,316,235,318,5117,479,0,19,13,19,471,174,79,101,392,159
86000US48088,"48088",22189,722,18501,730,2228,508,84,72,882,312,10,17,166,145,318,137,32,35,286,136
86000US48089,"48089",31226,1031,18429,928,10026,917,65,49,1673,463,0,22,75,45,958,256,41,43,917,255
86000US48091,"48091",29811,985,16385,867,7087,769,337,399,4830,734,0,19,53,89,1119,376,47,48,1072,373
86000US48092,"48092",26939,658,19792,710,2447,451,31,41,3841,318,35,50,243,205,550,210,15,17,535,211
86000US48093,"48093",24632,854,18219,913,4276,467,78,65,1369,330,17,27,113,96,560,222,28,30,532,226
86000US48094,"48094",19872,445,18812,608,334,205,0,16,279,282,0,16,63,72,384,157,28,29,356,162
86000US48095,"48095",5765,341,5435,386,54,70,7,10,131,142,0,15,0,15,138,135,0,15,138,135
86000US48096,"48096",4010,19,3995,32,6,15,0,10,0,10,0,10,3,7,6,13,6,13,0,10
86000US48097,"48097",5273,192,5112,202,10,15,18,14,12,16,0,15,32,30,89,37,2,4,87,37
86000US48098,"48098",19232,559,13020,505,428,218,75,51,5174,452,0,16,33,46,502,183,11,18,491,183
86000US48101,"48101",27216,33,24795,597,668,243,28,31,239,89,0,19,737,352,749,293,147,180,602,221
86000US48103,"48103",55118,1096,43638,1091,2401,367,391,231,5806,571,0,24,292,118,2590,538,147,106,2443,484
86000US48104,"48104",43369,1090,33964,1225,2039,324,87,71,5450,502,55,59,257,132,1517,317,75,62,1442,318
86000US48105,"48105",36718,1043,21483,1012,2350,393,65,53,11295,691,9,15,319,201,1197,248,14,20,1183,247
