agency facility id,pollutant type(s),pollutant type(s)
A0023,HAP,38
A0085,HAP,5
A0098,HAP,34
A0169,HAP,44
A0171,HAP,4
A0402,HAP,32
A0563,HAP,35
A0749,HAP,62
A0767,HAP,13
A0884,HAP,76
A0999,HAP,28
A1430,HAP,1
A1640,HAP,32
A1641,HAP,32
A1864,HAP,32
A1932,HAP,32
A1991,HAP,57
A2208,HAP,1
A2402,HAP,34
A2534,HAP,38
A2620,HAP,33
A2677,HAP,1
A2722,HAP,5
A2849,HAP,32
A2851,HAP,11
A2889,HAP,1
A2931,HAP,3
A3352,HAP,34
A3567,HAP,36
A3569,HAP,43
A3900,HAP,13
A3934,HAP,13
A4033,HAP,68
A4043,HAP,45
A4279,HAP,1
A4285,HAP,57
A4302,HAP,7
A4315,HAP,5
A4338,HAP,35
A4741,HAP,32
A5262,HAP,37
A5496,HAP,2
A5764,HAP,29
A5806,HAP,32
A5858,HAP,36
A5867,HAP,1
A5937,HAP,28
A6175,HAP,36
A6218,HAP,34
A6220,HAP,32
A6240,HAP,32
A6262,HAP,1
A6352,HAP,6
A6380,HAP,32
A6475,HAP,34
A6497,HAP,31
A6714,HAP,32
A6902,HAP,32
A7757,HAP,32
A7809,HAP,43
A7972,HAP,1
A8019,HAP,3
A8638,HAP,37
A8640,HAP,53
A8645,HAP,25
A8648,HAP,43
A8650,HAP,48
A8651,HAP,32
A8953,HAP,1
A9196,HAP,1
A9364,HAP,5
A9365,HAP,33
A9831,HAP,38
AIRPORT01MI,HAP,32
AIRPORT02MI,HAP,26
AIRPORT03MI,HAP,32
AIRPORT04MI,HAP,26
AIRPORT06MI,HAP,32
AIRPORT07MI,HAP,26
AIRPORT08C,HAP,32
AIRPORT08MI,HAP,32
AIRPORT09MI,HAP,32
AIRPORT0C5,HAP,26
AIRPORT0MI1,HAP,32
AIRPORT0MI3,HAP,26
AIRPORT0MI4,HAP,26
AIRPORT0MI6,HAP,26
AIRPORT0MI7,HAP,32
AIRPORT0MI9,HAP,32
AIRPORT10MI,HAP,32
AIRPORT11G,HAP,32
AIRPORT11MI,HAP,32
AIRPORT12MI,HAP,26
AIRPORT13C,HAP,32
AIRPORT13D,HAP,32
AIRPORT13MI,HAP,32
AIRPORT14MI,HAP,26
AIRPORT15MI,HAP,32
AIRPORT15W,HAP,32
AIRPORT16MI,HAP,26
AIRPORT17MI,HAP,32
AIRPORT18MI,HAP,32
AIRPORT19MI,HAP,32
AIRPORT1D2,HAP,32
AIRPORT1MI1,HAP,26
AIRPORT1MI2,HAP,32
AIRPORT1MI3,HAP,26
AIRPORT1MI4,HAP,26
AIRPORT1MI5,HAP,26
AIRPORT1MI8,HAP,26
AIRPORT1MI9,HAP,26
AIRPORT200ECA,HAP,32
AIRPORT200ESH,HAP,32
AIRPORT20MI,HAP,32
AIRPORT21MI,HAP,32
AIRPORT22MI,HAP,32
AIRPORT23MI,HAP,26
AIRPORT24C,HAP,32
AIRPORT24M,HAP,32
AIRPORT25MI,HAP,26
AIRPORT26MI,HAP,26
AIRPORT26W,HAP,32
AIRPORT27C,HAP,32
AIRPORT27MI,HAP,26
AIRPORT28MI,HAP,26
AIRPORT29C,HAP,32
AIRPORT29MI,HAP,32
AIRPORT2C5,HAP,32
AIRPORT2F2,HAP,32
AIRPORT2H4,HAP,26
AIRPORT2M7,HAP,32
AIRPORT2MI0,HAP,26
AIRPORT2MI1,HAP,32
AIRPORT2MI2,HAP,32
AIRPORT2MI4,HAP,26
AIRPORT2MI5,HAP,32
AIRPORT2MI7,HAP,32
AIRPORT2MI8,HAP,32
AIRPORT2MI9,HAP,26
AIRPORT2P4,HAP,32
AIRPORT2T7,HAP,32
AIRPORT30MI,HAP,26
AIRPORT32MI,HAP,32
AIRPORT33C,HAP,32
AIRPORT33MI,HAP,32
AIRPORT34G,HAP,32
AIRPORT34MI,HAP,26
AIRPORT34U,HAP,26
AIRPORT35C,HAP,32
AIRPORT35D,HAP,32
AIRPORT35MI,HAP,26
AIRPORT36MI,HAP,32
AIRPORT37MI,HAP,26
AIRPORT38C,HAP,32
AIRPORT38MI,HAP,26
AIRPORT39G,HAP,32
AIRPORT39MI,HAP,32
AIRPORT39T,HAP,32
AIRPORT39Z,HAP,32
AIRPORT3BS,HAP,32
AIRPORT3CM,HAP,32
AIRPORT3DA,HAP,32
AIRPORT3F5,HAP,32
AIRPORT3GM,HAP,32
AIRPORT3L7,HAP,32
AIRPORT3MI0,HAP,26
AIRPORT3MI2,HAP,26
AIRPORT3MI3,HAP,32
AIRPORT3MI4,HAP,32
AIRPORT3MI6,HAP,32
AIRPORT3MI7,HAP,26
AIRPORT3MI8,HAP,32
AIRPORT3NP,HAP,32
AIRPORT3RC,HAP,32
AIRPORT3S5,HAP,32
AIRPORT3TE,HAP,32
AIRPORT3TR,HAP,32
AIRPORT40C,HAP,32
AIRPORT41C,HAP,32
AIRPORT41G,HAP,32
AIRPORT42C,HAP,32
AIRPORT43G,HAP,32
AIRPORT43MI,HAP,32
AIRPORT44G,HAP,32
AIRPORT44MI,HAP,32
AIRPORT45G,HAP,32
AIRPORT45MI,HAP,26
AIRPORT46MI,HAP,26
AIRPORT47MI,HAP,26
AIRPORT48D,HAP,32
AIRPORT48G,HAP,32
AIRPORT48MI,HAP,32
AIRPORT49G,HAP,32
AIRPORT4D0,HAP,32
AIRPORT4M0,HAP,32
AIRPORT4MI0,HAP,26
AIRPORT4MI1,HAP,26
AIRPORT4MI4,HAP,26
AIRPORT4MI5,HAP,32
AIRPORT4MI6,HAP,26
AIRPORT4MI7,HAP,26
AIRPORT4MI8,HAP,26
AIRPORT4MI9,HAP,32
AIRPORT4N0,HAP,32
AIRPORT4Y1,HAP,32
AIRPORT4Y4,HAP,32
AIRPORT4Y8,HAP,32
AIRPORT4Y9,HAP,32
AIRPORT50D,HAP,32
AIRPORT50G,HAP,32
AIRPORT51G,HAP,32
AIRPORT51M,HAP,32
AIRPORT52I,HAP,32
AIRPORT53M,HAP,32
AIRPORT53MI,HAP,32
AIRPORT53W,HAP,26
AIRPORT54MI,HAP,26
AIRPORT55G,HAP,32
AIRPORT55MI,HAP,32
AIRPORT56G,HAP,32
AIRPORT56MI,HAP,32
AIRPORT57D,HAP,32
AIRPORT57MI,HAP,32
AIRPORT58MI,HAP,32
AIRPORT59M,HAP,32
AIRPORT59MI,HAP,32
AIRPORT5D5,HAP,32
AIRPORT5MI0,HAP,32
AIRPORT5MI1,HAP,26
AIRPORT5MI5,HAP,32
AIRPORT5MI6,HAP,32
AIRPORT5MI7,HAP,26
AIRPORT5MI8,HAP,26
AIRPORT5MI9,HAP,32
AIRPORT5N7,HAP,32
AIRPORT5Y0,HAP,32
AIRPORT5Y1,HAP,32
AIRPORT5Y2,HAP,32
AIRPORT5Y4,HAP,32
AIRPORT5Y5,HAP,32
AIRPORT5Y7,HAP,32
AIRPORT60G,HAP,32
AIRPORT60MI,HAP,26
AIRPORT61D,HAP,32
AIRPORT61G,HAP,32
AIRPORT61MI,HAP,32
AIRPORT63MI,HAP,32
AIRPORT64MI,HAP,32
AIRPORT65G,HAP,32
AIRPORT65MI,HAP,32
AIRPORT66G,HAP,32
AIRPORT66MI,HAP,26
AIRPORT68G,HAP,32
AIRPORT68R,HAP,32
AIRPORT69G,HAP,32
AIRPORT6D6,HAP,32
AIRPORT6D9,HAP,32
AIRPORT6G0,HAP,32
AIRPORT6G8,HAP,32
AIRPORT6H4,HAP,32
AIRPORT6MI0,HAP,26
AIRPORT6MI1,HAP,26
AIRPORT6MI3,HAP,26
AIRPORT6MI4,HAP,32
AIRPORT6MI6,HAP,26
AIRPORT6MI7,HAP,26
AIRPORT6MI8,HAP,32
AIRPORT6MI9,HAP,32
AIRPORT6Y0,HAP,32
AIRPORT6Y1,HAP,32
AIRPORT6Y6,HAP,32
AIRPORT6Y8,HAP,32
AIRPORT6Y9,HAP,32
AIRPORT72MI,HAP,32
AIRPORT73MI,HAP,32
AIRPORT75G,HAP,32
AIRPORT75MI,HAP,26
AIRPORT76G,HAP,32
AIRPORT77G,HAP,32
AIRPORT78MI,HAP,32
